"name:en","name:fa","Category:en","Category:fa","Province","City","SizeMetric","Latitude","Longitude","URL","Phone","Address"
"Shafa","شفا","Hospital","بیمارستان","Kerman","Kerman",50,30.29157077339123,57.0277306759132,"kmu.ac.ir",3432115780,"Kerman Province, Kerman, Shafa Blvd, Iran"
"Cardiovascular","قلب و عروق","Research Center","مرکز تحقیقاتی","Kerman","Kerman",75,30.244043908171697,57.10767585580058,"kmu.ac.ir",3431325700,"Kerman Province, Kerman, Unnamed Road, 64V4+6C3, Iran"
"Imam Ali","علی ابن ابی طالب","Hospital","بیمارستان","SistanandBaluchestan","Ahwaz",60,29.44214446983353,60.84794875631084,"http://asso.ir/",5433295570,"Sistan and Baluchestan Province, Zahedan, بلوار خلیج فارس، CRRX+Q4H، 98167 43111, Iran"
"Shahid Mohammadi","شهید محمدی","Hospital","بیمارستان","Hormozgan","Bandar e Abbas",45,27.195469017741246,56.29769977900338,"https://hums.ac.ir/",7633347000,"57WW+3WC Kuy e Farhangiyan, Bandar Abbas, Hormozgan Province, Iran"
"Cardiovascular","قلب و عروق","Research Center","مرکز تحقیقاتی","Hormozgan","Bandar e Abbas",80,27.18160047231693,56.30014430598743,"https://hums.ac.ir/",7633333280,"Hormozgan Province, Bandar Abbas, بلوار شهید چمران, 57JX+JW2 دانشگاه علوم پزشکی و خدمات بهداشتی درمانی هرمزگان, Iran"
"Razi","رازی","Hospital","بیمارستان","SouthKhorasan","Birjand",55,32.855600952309366,59.22983064661774,"https://razi.bums.ac.ir/",5631626000,"South Khorasan Province, Birjand, Ghafari Blvd, V64H+5R7, 97178 53111, Iran"
"Cardiovascular Disaese","بیماری های قلب و عروق","Research Center","مرکز تحقیقاتی","SouthKhorasan","Birjand",70,32.85680858738534,59.23013105389883,"https://www.bums.ac.ir/",5632395000,"V64J+J2J, Birjand, South Khorasan Province, Iran"
"Prevention of Cardiovascular Diseases","پیشگیری از بیماری های قلبی و عروقی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",90,35.79739261921049,51.39667942661313,"https://sbmu.ac.ir/",2122432040,"Tehran Province, Tehran, District 1, Daneshjou Blvd, Q9WW+PPV, Iran"
"Cardiovascular","قلب و عروق","Research Center","مرکز تحقیقاتی","Tehran","Tehran",65,35.787751500604855,51.37198169327205,"https://sbmu.ac.ir/",2122083106,"Tehran, استان تهران، بزرگراه یادگار امام، بلوار سعادت آباد،،, Q9QC+3V6, Iran"
"Modarres","مدرس","Hospital","بیمارستان","Tehran","Tehran",50,35.787548319679495,51.372078268139255,"https://modarres.sbmu.ac.ir/",2123515,"استان تهران تهران بزرگراه یادگار امام تقاطع سعادت آباد، 19987 34383, Iran"
"Taleghani","طالقانی","Hospital","بیمارستان","Tehran","Tehran",55,35.79949941501637,51.40164491602209,"https://taleghani.sbmu.ac.ir/",2122432560,"Tehran Province, Tehran, شهید بهشتی، پلاک جنب, دانشگاه علوم پزشکی, 19857 11151, Iran"
"Cardiogenic","کاردیوژنیک","Research Center","مرکز تحقیقاتی","Tehran","Tehran",85,35.775235345685,51.41095104802839,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Echocardiography","اکوکاردیوگرافی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",75,35.774817529433456,51.411401659137304,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Electrophysiology","الکتروفیزیولوژی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",80,35.77578372618341,51.41155186284028,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Valvular Heart Diseases","بیماری های دریچه ای قلب","Research Center","مرکز تحقیقاتی","Tehran","Tehran",70,35.775235345685,51.4111978112547,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Cardio-oncology","کاردیوانکولوژی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",65,35.775696681912365,51.41041460623207,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Cardiovascular Nursing","پرستاری قلب و عروق","Research Center","مرکز تحقیقاتی","Tehran","Tehran",60,35.77554870643289,51.4099425374513,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Cardiovascular Interventions","مداخلات قلبی عروقی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",75,35.775374617280974,51.41006055464649,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Rajaie Cardiovascular Medical and Research Institute","انستیتو آموزشی، تحقیقاتی و درمانی قلب و عروق شهید رجایی","Hospital","بیمارستان","Tehran","Tehran",95,35.775000324313645,51.41056480993504,"http://www.rhc.ac.ir/en",2123921,"استان تهران تهران منطقه ۳ تهران خیابان ولیعصر, Hashemi Rafsanjani Expy, No. ابتدای، 19969 11151, Iran"
"Clinical Sciences","علوم بالینی","Research Facility","پژوهشکده","Tehran","Tehran",85,35.75176989855661,51.39496647822217,"http://bmsu.ac.ir/",2188040060,"Q92V+MMG, Tehran, Tehran Province, Iran"
"Atherosclerosis","آترواسکلروز","Research Center","مرکز تحقیقاتی","Tehran","Tehran",70,35.75156056659238,51.395118206874926,"http://bmsu.ac.ir/",2188040060,"Q92V+MMG, Tehran, Tehran Province, Iran"
"Cardiovascular Disaese Prevention","پیشگیری از بیماری های قلبی و عروقی","Research Center","مرکز تحقیقاتی","Tehran","Tehran",80,35.74837934351346,51.3812276258097,"http://iums.ac.ir/",2186701021,"Tehran Hemat Highway next to Milad Tower، 14535, Iran"
"Shariati","شریعتی","Hospital","بیمارستان","Tehran","Tehran",55,35.72268652257799,51.386624041381005,"https://shariati.tums.ac.ir/",2184901000,"Tehran Province, Tehran, N Kargar, P9CP+JP2, Iran"
"Heart Center","مرکز قلب","Hospital","بیمارستان","Tehran","Tehran",90,35.72068074827806,51.38795769384374,"http://thc.tums.ac.ir/",2188029600,"Tehran، استان تهران تهران خیابان کارگر شمالی بزرگراه جلال آل احمد نبش، P9CQ+65H، 14117 13138, Iran"
"Rasool Akram","رسول اکرم","Hospital","بیمارستان","Tehran","Tehran",60,35.71966450996119,51.369342432692754,"https://hrmc.iums.ac.ir/",2164351000,"استان تهران تهران تهران خیابان ستارخان, Niyayesh St, 14456 13131, Iran"
"Imam Khomeini","امام خمینی","Hospital","بیمارستان","Tehran","Tehran",50,35.70811662637429,51.38062719697266,"http://ikhc.tums.ac.ir/",2161190000,"استان تهران تهران انتهای بلوار کشاورز, 14197 33141, Iran"
"Basic Electrophysiology","الکتروفیزیولوژی پایه","Research Center","مرکز تحقیقاتی","Tehran","Tehran",75,35.70603441424746,51.394232930840815,"http://medicine.tums.ac.ir/",2188896696,"Tehran Province, Tehran, District 6, Pour Sina St, P94V+8MF, Iran"
"Heart","قلب","Research Center","مرکز تحقیقاتی","Tehran","Tehran",80,35.70582532473898,51.39454406708268,"http://medicine.tums.ac.ir/",2188896696,"Tehran Province, Tehran, District 6, Pour Sina St, P94V+8MF, Iran"
"Primary Prevention of Cardiovascular Diseases","پیشگیری اولیه از بیماری های قلب و عروق","Research Center","مرکز تحقیقاتی","Tehran","Tehran",70,35.70581661266423,51.3944260498875,"http://medicine.tums.ac.ir/",2188896696,"Tehran Province, Tehran, District 6, Pour Sina St, P94V+8MF, Iran"
"Pediatric and Fetal Cardiology Promotion and Prevention","پیشگیری و ارتقا سلامت قلب و عروق جنین و کودک","Research Center","مرکز تحقیقاتی","Tehran","Tehran",65,35.70607470747512,51.393693806835515,"http://medicine.tums.ac.ir/",2188896696,"Tehran Province, Tehran, District 6, Pour Sina St, P94V+8MF, Iran"
"Sina","سینا","Hospital","بیمارستان","Tehran","Tehran",55,35.68782095035048,51.413764204568245,"https://sinahospital.tums.ac.ir/",2163120,"استان تهران تهران خیابان امام خمینی(ره)- نرسیده به میدان حسن آباد، 11367 46911, Iran"
"Imam Hossein","امام حسین","Hospital","بیمارستان","Tehran","Tehran",60,35.70653285264569,51.451037381628616,"https://ehmc.sbmu.ac.ir/",2173433000,"استان تهران تهران میدان امام حسین، خیابان شهید مدنی، 16177 63141, Iran" 